Cusec;t7_2;t7_3;t7_5;t7_6
1503001001;190;165;225;140
1503001002;175;215;295;205
1503001003;475;110;570;185
1503001004;535;120;540;300
1503001005;315;90;335;165
1503001006;195;110;195;235
1503001007;415;165;560;290
1503001008;385;225;375;255
1503001009;245;85;245;115
1503001012;275;50;385;205
1503002001;390;110;550;210
1503002002;330;80;310;170
1503002003;520;155;695;250
1503002004;195;105;320;205
1503002005;370;175;335;250
1503002006;490;140;720;195
1503002007;515;135;575;220
1503002008;865;125;720;160
1503002009;705;175;785;270
1503002010;480;205;560;215
1503002011;380;50;340;155
1503002012;360;95;370;150
1503002013;460;110;585;95
1503002014;230;185;375;250
1503002015;445;150;525;280
1503002016;355;170;390;170
1503002017;655;155;555;260
1503002018;830;245;785;350
1503002019;285;125;355;170
1503002020;410;280;505;320
1503002021;930;150;990;200
1503002022;785;60;750;135
1503002023;330;80;335;130
1503003001;225;110;220;150
1503003002;355;70;345;135
1503003003;370;205;365;375
1503003004;310;60;320;140
1503003005;155;100;165;180
1503003006;320;45;345;335
1503003007;285;135;430;285
1503003009;310;145;330;195
1503003010;390;110;455;190
1503003011;185;105;215;190
1503003012;430;105;400;95
1503003013;335;145;470;180
1503003014;150;75;245;185
1503003015;295;170;250;225
1503003016;505;165;615;325
1503003017;330;155;395;220
1503003018;195;70;195;90
1503003019;155;60;215;140
1503003020;600;115;635;175
1503003021;210;80;210;170
1503003022;330;155;425;210
1503003023;250;70;265;75
1503004001;230;130;410;180
1503004002;330;125;295;160
1503004003;500;220;410;305
1503004004;370;100;430;170
1503004005;360;170;420;245
1503004006;410;115;455;165
1503004007;555;160;935;310
1503004008;245;145;410;125
1503004009;465;150;555;115
1503004010;325;105;395;170
1503004011;470;175;500;175
1503004012;545;160;480;135
1503004013;345;60;600;235
1503004014;185;90;200;125
1503004015;270;95;310;110
1503004016;155;85;170;60
1503004017;175;25;225;135
1503004018;350;115;450;115
1503004019;340;95;355;85
1503004020;350;95;295;240
1503004021;150;60;125;130
1503004022;130;95;170;110
1503004023;570;135;775;210
1503004024;275;35;370;90
1503004025;195;60;205;140
1503004026;190;95;325;130
1503004028;325;100;465;135
1503004029;330;80;375;195
1503005001;390;235;470;340
1503005002;165;100;330;225
1503005003;325;190;390;330
1503005004;525;95;585;170
1503005005;450;120;420;225
1503005006;435;125;590;175
1503005007;545;105;850;185
1503005008;385;115;370;230
1503005009;330;95;480;165
1503005010;145;120;300;90
1503005011;305;50;360;25
1503005012;385;90;600;230
1503005013;315;120;440;110
1503005014;445;245;585;260
1503005015;435;125;450;150
1503005016;460;160;415;85
1503005017;760;50;735;50
1503005018;780;60;660;75
1503005019;570;30;525;50
1503005020;245;35;325;110
1503005021;565;45;570;60
1503005022;540;65;810;50
1503006001;475;90;380;155
1503006002;455;230;530;290
1503006003;395;105;595;145
1503006004;255;155;190;160
1503006005;235;60;340;100
1503006006;200;95;215;125
1503006007;215;100;275;145
1503006008;295;65;355;175
1503006009;445;165;560;240
1503006010;230;120;175;210
1503006011;285;65;270;125
1503006012;365;130;340;190
1503006013;235;120;240;125
1503006014;445;85;445;135
1503006015;590;95;535;155
1503006016;505;70;515;180
1503006017;305;160;375;165
1503006018;320;160;390;230
1503006019;385;85;330;160
1503006020;160;70;200;70
1503006021;255;65;300;125
1503006022;155;95;165;125
1503006023;250;130;225;195
1503007001;350;125;325;245
1503007002;360;190;495;335
1503007003;240;75;255;75
1503007004;500;105;515;255
1503007005;280;95;400;190
1503007006;590;135;580;255
1503007007;710;115;695;135
1503007008;520;185;645;205
1503007009;610;135;600;135
1503007010;240;120;445;150
1503007011;535;110;580;200
1503007012;550;180;475;270
1503007013;585;115;645;200
1503007014;530;125;530;120
1503007015;615;175;550;215
1503007016;360;115;280;170
1503007017;420;50;455;40
1503007018;325;140;365;305
1503007019;265;95;275;120
1503007020;505;100;495;155
1503007021;430;95;485;125
1503007022;570;90;900;100
1503007023;545;120;555;325
1503007025;185;40;240;130
1503007026;155;110;140;170
1503007027;375;110;320;220
1503007028;465;35;485;110
1503007029;275;160;380;185
1503007031;620;70;580;185
1503007032;145;35;180;75
1503007033;275;90;410;150
1503007034;200;95;255;100
1503007035;605;155;490;225
1503007036;1090;95;1055;170
1503007037;200;145;190;215
1503007038;375;115;405;165
1503007039;400;90;500;195
1503007040;320;120;325;175
1503007041;345;35;370;60
1503007042;570;85;585;85
1503007043;485;70;595;100
1503008001;370;125;405;155
1503008002;540;185;605;145
1503008003;320;50;415;120
1503008004;880;145;870;110
1503008005;670;245;730;320
1503008006;460;50;275;70
1503009001;995;65;890;115
1503009002;710;150;640;135
1503009003;1360;25;1205;50
1503009004;1580;55;1460;85
1503009005;580;50;460;0
1503010001;210;80;115;145
1503010002;500;100;480;145
1503010003;355;135;535;100
1503010004;470;40;400;70
1503010005;1405;200;1280;230
